"prompt","completion"
"いやー、今日の夕日は本当に美しかったね","1"
"最近、夜更かしの癖がなかなか治らない","1"
"この新しいカフェ、雰囲気がとても良くておすすめだよ","1"
"毎週末は家で映画を観るのが楽しみなんだ","1"
"最近始めたジョギングが思いの外、楽しい","1"
"友達と一緒に山にハイキングに行ったんだ","1"
"今日のディナーは自分で手料理を作ろうと思う","1"
"あの古い町並みを散策するのは本当に癒される","1"
"昨晩の雷、すごく激しかったけど大丈夫だった？","1"
"このバンドの新しいアルバム、最高にカッコいいね","1"
"週末、近くの公園でピクニックを計画している","1"
"その映画はストーリーが深くて、何回も観たくなる","1"
"毎朝の短いメディテーションが日々のスタートを良くしてる","1"
"最近の天気は本当に変わりやすくて困るよね","1"
"子供の頃によく遊んでいたゲームをまた始めたんだ","1"
"来週、友達と一緒に新しいレストランに行く予定だ","1"
"この小説、登場人物が魅力的で一気に読んでしまった","1"
"明日は久しぶりに家族で外食に行くことになった","1"
"あの美術館、展示作品が豊富で何時間も楽しめるよ","1"
"週末は晴れるみたいだから、どこかに出かけようかな","1"
"最近、夜空に星を見に行くのが新しい趣味になった","1"
"その新しいアプリ、使い勝手が良くてすごく便利だよ","1"
"来月の旅行、計画を立てるだけでわくわくするね","1"
"今週の金曜日は友達のパーティーに招待されたんだ","1"
"その本は内容が深くて、何度も読み返している","1"
"明日は早起きして、近くの山に登りに行く予定だ","1"
"あの新しいショップ、商品がオシャレで気に入ってる","1"
"最近の朝食はフルーツたっぷりのスムージーが定番だ","1"
"昨日、久しぶりに故郷の友達から連絡があったよ","1"
"来週はいよいよ待ちに待ったコンサートがあるんだ","1"
"週末の天気が良ければ、サイクリングに行きたいな","1"
"そのドキュメンタリー、視野が広がる内容だったよ","1"
"明日はもっと早く起きて、朝の時間を有効に使おう","1"
"家の近くに新しい図書館ができて、嬉しい限りだ","1"
"週末の予定はまだ決まってないから、何か提案ある？","1"
"今日のランチは自分で作ったサンドイッチが最高だった","1"
"この辺りの夕日は格別で、見逃せない景色だね","1"
"明日の夜、新しく開店したバーに行ってみるつもりだ","1"
"あの公園の桜、春になると見事に咲き誇るよね","1"
"明日は一日中、家でリラックスする予定だ","1"
"このアーティストの絵は色使いが独特で魅了される","1"
"最近始めた編み物が新たなストレス解消法になってる","1"
"今日は一日中、お気に入りの音楽を聴いて過ごした","1"
"昨日の夜は新しいレシピに挑戦して料理を楽しんだ","1"
"次の週末は、近くの湖でカヌーを楽しむ予定だ","1"
"この映画、感動的な終わり方で涙が出そうになったよ","1"
"あの森を散策すると、新しい発見がたくさんあるんだ","1"
"毎日の散歩が、私のリフレッシュの時間になっている","1"
"週末はお気に入りのカフェで読書の時間を過ごすのが楽しみ","1"
"昨日は夜遅くまで友達とスカイプでおしゃべりしたんだ","1"
"今日のたこ焼き、めっちゃうまかったわ","2"
"あの映画、泣かへんでいいねんけど、ほんまに感動したわ","2"
"この辺の桜、春になるともう絶景やで","2"
"あの店のお好み焼き、なんぼ食べてもあきへんわ","2"
"昨日の夜、かなり冷えてもて、布団から出られへんかった","2"
"新しいカフェ、めっちゃ落ち着く空間やったわ","2"
"今週の週末、どっか遊びに行かへん？","2"
"今日のランチ、ボリューム満点で大満足やった","2"
"最近の仕事、えらい忙しいけど楽しいわ","2"
"その新しいアプリ、使い勝手ええからおすすめやで","2"
"今日の夕焼け、ほんまにきれいやったなあ","2"
"あのライブ、盛り上がりすぎて疲れたけど最高やったわ","2"
"この辺りの居酒屋、どこも値段手頃でええわ","2"
"今度の旅行、計画立てるだけでわくわくしてまうわ","2"
"この店のパンケーキ、甘さ控えめでほんまにうまい","2"
"あいつ、ちょっと大阪弁が強すぎてわからへん時あるわ","2"
"来週のパーティー、何着ていったらええと思う？","2"
"今日の天気、ほんまに良くて最高の一日やった","2"
"昨日の晩ごはん、ちょっと辛すぎてビックリしたわ","2"
"この新しいゲーム、夢中になりすぎて時間忘れてまう","2"
"あんた、最近どうや？久しぶりに会わなあかんね","2"
"その店のラーメン、スープが絶品で値段も安いで","2"
"この曲、ほんまに心に響く歌詞やと思わへん？","2"
"最近の運動不足、ちょっと困っとるわ","2"
"明日は早起きして、美味しい朝ごはん食べに行くんや","2"
"あの子、ちょっとシャイやけど、話し始めたら面白いで","2"
"昨日、友達と一緒に夜の街を散策して楽しんだわ","2"
"今日のテスト、ちょっと難しすぎて焦ったわ","2"
"週末のショッピング、ちょっと予算オーバーやった","2"
"その新しい店、内装がおしゃれで雰囲気ええわ","2"
"最近の趣味、ギター弾くことやねん","2"
"今度の休日、一緒に映画見に行かへん？","2"
"この料理、ちょっと変わった材料使ってて新鮮やったわ","2"
"あんたの新しい髪型、めっちゃ似合うてるで","2"
"明日の予定、まだ決まってへんから何か提案ある？","2"
"あの人、いつもポジティブなエネルギーもらうわ","2"
"この店のコーヒー、香り高くて一杯で癒されるわ","2"
"最近読んだ本、内容が深くて何回も読み返したくなる","2"
"週末、どこか新しい場所に行ってみたいな","2"
"その映画、思った以上に面白くてビックリしたわ","2"
"今週末は、友達と一緒にキャンプに行く予定やで","2"
"この歌手、声が独特でライブも最高やねん","2"
"あの店のカレー、スパイシーで辛いけど中毒やわ","2"
"明日のデート、どうせなら楽しいところに行きたいな","2"
"最近の天気、変わりやすくて困るわ","2"
"あの美術館、展示が豊富で何時間も楽しめるわ","2"
"今度のイベント、盛り上がりそうで楽しみやね","2"
"この新曲、リズムがいいから聴いてみてや","2"
"明日は久しぶりに一人でゆっくり過ごすつもりや","2"
"最近始めた料理、思いの外楽しいわ","2"
"今週末、どっか静かな場所に行ってリラックスしたい","2"
"ほんまに、このまちの夜景は絶景やと思わん？","2"
"ちょいと待って、もう少し詳しく聞かせてもらってもええ？","2"
"この新しいスニーカー、動きやすくて最高やわ","2"
"先週の遠足、楽しすぎて写真いっぱい撮ったわ","2"
"そこの居酒屋の串カツ、一度食べたら病みつきになるで","2"
"新しいアニメ始まる前に、前シーズンのを見直そうかな","2"
"この漫画、笑いすぎてお腹痛くなったわ","2"
"あの子と一緒にプランを立てるの、いつも楽しいな","2"
"うちの犬、甘えん坊やからすぐに懐くで","2"
"今日の空、めっちゃ青くて気持ちええわ","2"
"明日の運動会、一緒に応援しに行こうや","2"
"最後のシーンの演技、ほんまに感動的やった","2"
"この辺りのカフェ、どこも雰囲気がええわ","2"
"あいつの冗談、いつもちょうどええタイミングでくるわ","2"
"新しいレストラン、料理が斬新で驚いたわ","2"
"この新曲、耳に残るメロディやからよく聞くわ","2"
"おいしい焼肉屋を知ってるんや、今度連れて行ってもらえる？","2"
"あの試合、最後まで目が離せへんくらい熱かった","2"
"あんたのアイデア、いつも新鮮で刺激もらうわ","2"
"このアプリ、使いやすくて毎日活用してるわ","2"
"このゲーム、レベルが高くなると難しいけど楽しいな","2"
"最近のダイエット、少しずつ結果が出て嬉しいわ","2"
"この新しい本、考えさせられる内容で深いわ","2"
"来月のコンサート、一緒に行く仲間を探してるんや","2"
"あの人の話し方、聞いてるだけで元気もらえるわ","2"
"この公園、四季折々の風景が楽しめてええわ","2"
"週末、一緒に新しいレシピで料理しようや","2"
"最新の映画、評判通りの内容で大満足やった","2"
"明日は、ちょっと贅沢して美味しいもの食べに行くわ","2"
"これからの季節、ちょうど過ごしやすくてええよな","2"
"来週の展示会、楽しみすぎて待ちきれへんわ","2"
"あんたの絵、いつ見てもセンス感じるわ","2"
"この町の夏祭り、毎年盛り上がって最高やで","2"
"あの店のスイーツ、見た目も可愛くて女子に人気やな","2"
"友達との旅行、最高の思い出作れそうや","2"
"この小説、主人公の成長が感じられて良かったわ","2"
"明後日のピクニック、天気もええみたいやから楽しみやな","2"
"これ、新しく出たスナック。一度食べたら止まらんで","2"
"あの映画、笑いあり涙ありでめっちゃ良かったわ","2"
"今度の休みは、家でゆっくりするつもりや","2"
"最近始めたジム、トレーナーが親切で助かるわ","2"
"昨日の夜の雷、かなり大きかったよな","2"
"これからの新生活、ちょっとわくわくしてるんや","2"
"最後の問題、ちょっと手ごわかったけど解けたわ","2"
"あいつ、最近ちょっと様子がおかしいよな","2"
"あのお店のカレー、スパイシーでクセになるわ","2"
"新発売のゲーム、朝までやりこんじゃったわ","2"
"この辺の桜の名所、春は人がいっぱいやで","2"
"昨日のライブ、アーティストのパフォーマンスが最高やった","2"
"あの店のラーメン、博多っぽくて美味かばい","3"
"最近の天気、ほんと変わりよるな","3"
"この前行った居酒屋、雰囲気良かったわい","3"
"山笠の時期に博多行くのが夢やけん","3"
"今度の休み、どっか温泉に行きたいんばい","3"
"あの子、ずっと何かと話しかけてくるばい","3"
"最近始めたジョギング、毎日続けてるけん","3"
"この先何が起きるかわからんよな","3"
"新しい仕事、最初は大変かったけど慣れたわい","3"
"あの公園、夜景が綺麗でデートスポットにええんよ","3"
"友達が新しいカフェを開いたけん、行ってみたいな","3"
"この間の台風、ほんとに大変だったわい","3"
"最後のテスト、かなり頑張ったけど合格したばい","3"
"今週の週末、花火大会があるって聞いたけん","3"
"新しいバンドを組んで、練習に励んでるばい","3"
"この町の夏祭り、毎年楽しみにしてるんよ","3"
"ここの魚は新鮮で、刺身が最高なんばい","3"
"町のフェス、毎年面白い演目ばかりやわ","3"
"新しく開いたラーメン屋、評判いいみたいじゃ","3"
"最近よく山歩きしてるけん、健康になったわ","3"
"あいつ、よくもんく言うけん、少し疲れるわい","3"
"冬のイルミネーション、めっちゃきれいじゃった","3"
"こんなに遅くまで働いたの、初めてじゃわ","3"
"明日の天気、雨になるんばってん、洗濯物困るな","3"
"あの映画、泣けるってよかったんばってん","3"
"最近の子どもたち、元気じゃけん安心するわ","3"
"夏の暑さも、もうすぐ終わるけん頑張ろう","3"
"今週末、花見に行く予定じゃけん楽しみにしてる","3"
"あいつ、いつも手伝ってくれるから感謝してるわ","3"
"もう少しで新しい年が始まる、楽しみじゃ","3"
"明日は一日中、家でゆっくりしたいんばい","3"
"この辺の海、泳ぎやすくて最高じゃわ","3"
"今度の休みには、家族でドライブ行くつもりじゃ","3"
"この町の夏祭り、毎回楽しみにしてるばい","3"
"新しいカフェがオープンしたて、行ってみたいわ","3"
"あんたの料理、いつも美味しいんじゃね","3"
"子供たちが遊んでる声、なんか幸せな気分になるわ","3"
"今度の日曜日、友達とバーベキューやるつもりじゃ","3"
"昨日の夜、隣の家が大騒ぎしてたんばってん","3"
"来月、久しぶりに実家に帰る予定だわ","3"
"この店の焼き鳥、食べたことない人には絶対おすすめじゃ","3"
"最近の天気、変わりやすくて困るんじゃね","3"
"あの子、いつも元気で、見てるこっちが楽しくなるわ","3"
"この近所の人たちは、皆親しみやすくてええ人ばっかじゃわ","3"
"今夜、星がめちゃくちゃ綺麗に見えるわ","3"
"昔の友達に偶然街で会った。懐かしかったわい","3"
"新しい仕事、初めてなので緊張するけん","3"
"週末は一人で山にハイキング行くつもりじゃ","3"
"毎朝の散歩は、一日の始まりにちょうどええ","3"
"これからの季節、釣りが一番楽しい時期じゃ","3"
"近くの川で綺麗な石を拾ってきたんじゃ","3"
"あいつ、もうちょっと真剣にやったらええのに","3"
"今度の花火大会、絶対行くけん誰か一緒に行かん？","3"
"この漫画、最新刊読んだら泣いちゃったんじゃ","3"
"近くの公園、春になると桜が綺麗じゃよ","3"
"この曲聴くと、高校時代を思い出すんじゃね","3"
"あの映画、思ったよりずっと面白かったわい","3"
"最近よく運動してるけん、健康的になった気がする","3"
"来週の旅行、何を持って行けばいいか悩んでるばい","3"
"新しいレストラン、料理が絶品でよく行くんじゃ","3"
"その話、ほんとに信じられんくらいすごいわ","3"
"今日の夕日、特別に美しかった気がするんじゃ","3"
"家の近くに新しい本屋ができて、嬉しいわい","3"
"このケーキ屋のタルト、一度食べたら忘れられん","3"
"最近、夜更かししすぎて朝が辛いんじゃ","3"
"その辺で育った野菜、味が濃くて美味しいわ","3"
"彼と一緒に旅行行くの、すごく楽しみにしてるんじゃ","3"
"この辺の風景、季節ごとに違って見えてええんじゃな","3"
"あの店のラーメン、何回食べてもあきんねん","3"
"この辺の海、夏になったら絶対泳ぎに行くけん","3"
"あいつはいつも大声で話すから、ちょっと疲れるわい","3"
"新しい仕事、初めての場所ばいけんどきどきする","3"
"この町の夜景を見ると、ほんとうに癒されるんじゃ","3"
"今度の土日、何して過ごそうか全然決まってないんじゃ","3"
"あの子と話すと、いつも元気をもらえる気がするわい","3"
"この町の祭り、毎年欠かさずに参加してるんじゃ","3"
"友達から新しい本を借りて、一気に読み終えたわ","3"
"新しいカフェの内装がおしゃれで、落ち着くんじゃ","3"
"この辺の山、ハイキングにはもってこいじゃけん","3"
"あの子が描く絵、本当に感動するほど上手いんじゃ","3"
"家でゆっくり映画を見るのが、最近の楽しみじゃ","3"
"新しい遊園地、めちゃくちゃ楽しかったわい","3"
"あの店の魚料理、新鮮で本当に美味しいんじゃ","3"
"夏の夕方の川原で花火するのが楽しみじゃ","3"
"今日の天気、晴れてるけん洗濯日和やね","3"
"子供の頃よく遊んでた公園、変わっとらんね","3"
"最近の暑さじゃ、アイスが毎日のごちそうわい","3"
"明日は久しぶりに親友と飲みに行く約束したけん","3"
"この辺りの桜の名所、春になったら教えてくれる？","3"
"遠くからでもあの山が見えたら、もう家が近いんじゃ","3"
"田んぼの緑と青空が広がる風景、これが私の故郷じゃ","3"
"あの子の笑顔見ると、なんか元気もらえるんじゃけん","3"
"猫が寄ってくるんじゃ、なんか幸せな気分になるわ","3"
"最近の仕事、毎日が忙しくてじっとしてられんけん","3"
"夕焼けの時間、この場所からの眺めは最高じゃ","3"
"映画見終わったら、あそこで一杯やるつもりじゃけん","3"
"この町の小道を散歩するの、意外と楽しいんじゃよ","3"
"暑い中、友達と野球して汗をかくのが楽しいわい","3"
"この手作りの料理、母の味とそっくりで懐かしいわ","3"
"夜の海岸、波の音聞きながら歩くのが好きじゃ","3"
